"Mountain",count
"Mount Fuji",3376
"Popocatepetl",5426
"Lhotse",8516
"Mount McKinley",6168
"Kilimanjaro",5895
"Mount Logan",5250
"Kanchenjunga",5180
"Aconcagua",6962
"Mont Blanc",4810
"Klyuchevskaya Sopka",4750
